;Keeper;Keeper Place;Keeper Place Entity;Latitude;Longitude
87;Fondazione Federico Zeri;Bologna;Q1891;44.493888888;11.342777777
88;Nuova Fondazione Rossana e Carlo Pedretti;Lamporecchio;Q102599;43.816666666;10.9
89;Sezione di Archivio di Stato di Spoleto;Spoleto;Q20571;42.733333333;12.733333333
90;Biblioteca Marucelliana;Florence;Q2044;43.771388888;11.254166666
91;Centro di documentazione della Soprintendenza speciale per il Polo museale Fiorentino;Florence;Q2044;43.771388888;11.254166666
92;Archivio privato di Calcata;Calcata;Q159696;42.21952;12.42617
93;Museo Mario Praz;Rome;Q220;41.893055555;12.482777777
94;University of Siena;Siena;Q2751;43.318333333;11.331388888
95;Camaiore Religious Art Museum;Camaiore;Q216853;43.933333333;10.3
96;Istituto Nazionale di Archeologia e Storia dell’Arte (INASA);Rome;Q220;41.893055555;12.482777777
97;Archivio privato di Meleto;Meleto Valdarno;Q18485635;43.569405555;11.463888888
98;Biblioteca statale di Lucca;Lucca;Q13373;43.85;10.516666666
99;Getty Research Institute;Los Angeles;Q65;34.05223;118.24368
100;Biblioteca dell'Istituto Nazionale di Studi sul Rinascimento;Florence;Q2044;43.771388888;11.254166666
101;El Paternal Mio Nido;Colbordolo;Q190584;43.820561111;12.721069444
102;Biblioteca comunale degli Intronati;Siena;Q2751;43.318333333;11.331388888
103;Università di Bologna;Bologna;Q1891;44.493888888;11.342777777
104;Archivio contemporaneo Alessandro Bonsanti;Florence;Q2044;43.771388888;11.254166666
105;Istituto Lombardo Accademia di Scienze e Lettere;Milan;Q490;45.466944444;9.19
106;Biblioteca Nazionale Centrale di Roma;Rome;Q220;41.893055555;12.482777777
107;Casa museo Vasari, Arezzo (AR);Arezzo;Q13378;43.463055555;11.878055555
108;Scuola Normale Superiore;Pisa;Q13375;43.716666666;10.4
109;"Università degli Studi di Roma ""La Sapienza""";Rome;Q220;41.893055555;12.482777777
110;Comune di Milano. Archivio civico, Milano (MI);Milan;Q490;45.466944444;9.19
111;Archivi Vaticani;Vatican City;Q237;41.904;12.453
112;Musei Vaticani;Vatican City;Q237;41.904;12.453
113;Archivio Marisa Volpi;Rome;Q220;41.893055555;12.482777777
114;Biblioteca Nazionale Marciana;Venice;Q641;45.439722222;12.331944444
115;Fondazione Federico Zeri;Bologna;Q1891;44.493888888;11.342777777
116;Fondazione Bruno Zevi;Rome;Q220;41.893055555;12.482777777
117;Fondazione Federico Zeri;Bologna;Q1891;44.493888888;11.342777777
118;Fondazione Federico Zeri;Bologna;Q1891;44.493888888;11.342777777
119;Scuola Normale Superiore;Pisa;Q13375;43.716666666;10.4
