Full Name,Gender,Collection,Keeper
"Vasari, Giorgio ",male,Archivio Vasari,"Casa museo Vasari, Arezzo (AR)"
"Venturi, Adolfo",male,Fondo Adolfo Venturi,Scuola Normale Superiore
"Venturi, Lionello",male,Archivio Lionello Venturi,"Università degli Studi di Roma ""La Sapienza"""
"Villani, Filippo",male,Fondo Filippo Villani,"Comune di Milano. Archivio civico, Milano (MI)"
"Visconti, Ennio Quirino ",male,,
"Visconti, Filippo Aurelio",male,,Archivi Vaticani
"Visconti, Giovanni Battista",male,,Musei Vaticani
"Volpi, Marisa",female,,Archivio Marisa Volpi
"Zanetti, Antonio Maria Alessandro",male,,Biblioteca Nazionale Marciana
"Zani, Pietro",male,,
"Zeri, Federico",male,Federico Zeri Archives,Fondazione Federico Zeri
"Zevi, Bruno",male,Archivio Bruno Zevi,Fondazione Bruno Zevi
