Place Entity,Coordinates,Place,lat,lon,Latitude,Longitude,Place
Q628,"9º40'12.00""E, 45º41'42.00""N",Bergamo,"9º40'12.00""E","45º41'42.00""N",45.695,9.67,Bergamo
Q8611,"9º49'43.97""E, 44º6'28.96""N",La Spezia,"9º49'43.97""E","44º6'28.96""N",44.108044444,9.828880555,La Spezia
Q18341,"8º1'32.29""E, 44º41'29.55""N",Alba,"8º1'32.29""E","44º41'29.55""N",44.691542,8.025636,Alba
Q270328,"9º41'1.87""E, 44º8'6.58""N",Vernazza,"9º41'1.87""E","44º8'6.58""N",44.135161111,9.683852777,Vernazza
Q5836,"4º1'60.00""E, 39º51'60.00""N",Toledo,"4º1'60.00""E","39º51'60.00""N",39.866666666,4.033333333,Toledo
Q3415,"13º30'60.00""E, 43º36'60.00""N",Ancona,"13º30'60.00""E","43º36'60.00""N",43.616666666,13.516666666,Ancona
Q2634,"14º15'0.00""E, 40º49'60.00""N",Naples,"14º15'0.00""E","40º49'60.00""N",40.833333333,14.25,Naples
Q82822,"11º11'9.00""E, 43º39'25.00""N",San Casciano in Val di Pesa,"11º11'9.00""E","43º39'25.00""N",43.656944444,11.185833333,San Casciano in Val di Pesa
Q1891,"11º20'34.00""E, 44º29'38.00""N",Bologna,"11º20'34.00""E","44º29'38.00""N",44.493888888,11.342777777,Bologna
Q60,"74º0'21.65""E, 40º42'45.82""N",New York City,"74º0'21.65""E","40º42'45.82""N",40.7,74.0,New York City
Q2790,"13º13'60.00""E, 46º3'60.00""N",Udine,"13º13'60.00""E","46º3'60.00""N",46.066666666,13.233333333,Udine
Q18485635,"11º27'50.00""E, 43º34'9.86""N",Meleto Valdarno,"11º27'50.00""E","43º34'9.86""N",43.569405555,11.463888888,Meleto Valdarno
Q50121,"13º47'23.00""E, 41º48'18.00""N",Pescasseroli,"13º47'23.00""E","41º48'18.00""N",41.805,13.789722222,Pescasseroli
Q13135,"13º27'12.00""E, 43º18'1.00""N",Macerata,"13º27'12.00""E","43º18'1.00""N",43.300277777,13.453333333,Macerata
Q2028,"10º59'34.00""E, 45º26'19.00""N",Verona,"10º59'34.00""E","45º26'19.00""N",45.438611111,10.992777777,Verona
Q2751,"11º19'53.00""E, 43º19'6.00""N",Siena,"11º19'53.00""E","43º19'6.00""N",43.318333333,11.331388888,Siena
Q237,"12º27'10.80""E, 41º54'14.40""N",Vatican City,"12º27'10.80""E","41º54'14.40""N",41.904,12.453,Vatican City
Q5475,"12º14'31.99""E, 45º40'19.99""N",Treviso,"12º14'31.99""E","45º40'19.99""N",45.672219444,12.242219444,Treviso
Q47385,"11º22'60.00""E, 45º22'60.00""N",Lonigo,"11º22'60.00""E","45º22'60.00""N",45.383333333,11.383333333,Lonigo
Q13498,"17º14'27.00""E, 40º25'5.00""N",Taranto,"17º14'27.00""E","40º25'5.00""N",40.418055555,17.240833333,Taranto
Q101388,"9º40'30.00""E, 45º56'50.00""N",Piazza Brembana,"9º40'30.00""E","45º56'50.00""N",45.947222222,9.675,Piazza Brembana
Q1210,"9º56'60.00""E, 45º38'60.00""N",Lombardy,"9º56'60.00""E","45º38'60.00""N",45.65,9.95,Lombardy
Q46931,"11º30'60.00""E, 45º21'60.00""N",Sossano,"11º30'60.00""E","45º21'60.00""N",45.366666666,11.516666666,Sossano
