" ""keeper"" "," ""g"" "," ""nameKeeper"" "," ""collection"" "," ""collectionLabel"" "," ""artHistorian"" "," ""numberOfItems"" "," ""artHistorianName"" "," ""period"" "," ""periodLabel"" "," ""address"" "," ""cityKeeper"" "," ""cityKeeperLabel"" "," ""districtKeeper"" "," ""districtKeeperLabel"" "," ""countryKeeper"" "," ""countryKeeperLabel"" "," ""websiteKeeper"" ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,,,,
" ""wd:Q108323065"" "," ""art:1638187830-7530286/"" "," ""Direzione regionale musei della Toscana"" "," ""art:collectionarchive-cesare-brandi"" "," ""Archive Cesare Brandi"" "," ""wd:Q1056780"" "," ""Library: about 5000 units; works of art in the collection: 77 units; movable property: 502 units; correspondence (letters and postcards): 16",000 units approx. arranged in 106 folders; various documents and papers related to the family: 14 folders; various documents and papers related to Villa Brandi (press review, inventories, OA files, administrative deeds): 11 folders; documents and deeds of the work of Cesare Brandi at the Superintendence of Monuments and Galleries of Siena: 1 folder; pen sketches: 1 folder; manuscripts (unpublished writings, drafts, notebooks and notes for publications): 97 folders; photo library: 6446 units approx. arranged in 95 containers, 2 DVDs, 1 pc and 1 hard disk; original supports from the photo library: 15 folders; family photographs: 5 boxes," 1 folder and 1 DVD; slides: 3 boxes."" "," ""Cesare Brandi"" "," ""wd:Q7016"" "," ""     17th century"" "," ""Piazza de' Mozzi"," 2"" "," ""wd:Q2044"" "," ""     Florence"" "," ""wd:Q16172"" "," ""     Province of Florence"" "," ""wd:Q38"" "," ""     Italy"" "," ""file:////home/fzeri/artchives/records/www.polomusealetoscana.beniculturali.it"" ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
" ""wd:Q108323065"" "," ""art:1638187830-7530286/"" "," ""Direzione regionale musei della Toscana"" "," ""art:collectionarchive-cesare-brandi"" "," ""Archive Cesare Brandi"" "," ""wd:Q1056780"" "," ""Library: about 5000 units; works of art in the collection: 77 units; movable property: 502 units; correspondence (letters and postcards): 16",000 units approx. arranged in 106 folders; various documents and papers related to the family: 14 folders; various documents and papers related to Villa Brandi (press review, inventories, OA files, administrative deeds): 11 folders; documents and deeds of the work of Cesare Brandi at the Superintendence of Monuments and Galleries of Siena: 1 folder; pen sketches: 1 folder; manuscripts (unpublished writings, drafts, notebooks and notes for publications): 97 folders; photo library: 6446 units approx. arranged in 95 containers, 2 DVDs, 1 pc and 1 hard disk; original supports from the photo library: 15 folders; family photographs: 5 boxes," 1 folder and 1 DVD; slides: 3 boxes."" "," ""Cesare Brandi"" "," ""wd:Q4692"" "," ""     Renaissance"" "," ""Piazza de' Mozzi"," 2"" "," ""wd:Q2044"" "," ""     Florence"" "," ""wd:Q16172"" "," ""     Province of Florence"" "," ""wd:Q38"" "," ""     Italy"" "," ""file:////home/fzeri/artchives/records/www.polomusealetoscana.beniculturali.it"" ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
" ""wd:Q108323065"" "," ""art:1638187830-7530286/"" "," ""Direzione regionale musei della Toscana"" "," ""art:collectionarchive-cesare-brandi"" "," ""Archive Cesare Brandi"" "," ""wd:Q1056780"" "," ""Library: about 5000 units; works of art in the collection: 77 units; movable property: 502 units; correspondence (letters and postcards): 16",000 units approx. arranged in 106 folders; various documents and papers related to the family: 14 folders; various documents and papers related to Villa Brandi (press review, inventories, OA files, administrative deeds): 11 folders; documents and deeds of the work of Cesare Brandi at the Superintendence of Monuments and Galleries of Siena: 1 folder; pen sketches: 1 folder; manuscripts (unpublished writings, drafts, notebooks and notes for publications): 97 folders; photo library: 6446 units approx. arranged in 95 containers, 2 DVDs, 1 pc and 1 hard disk; original supports from the photo library: 15 folders; family photographs: 5 boxes," 1 folder and 1 DVD; slides: 3 boxes."" "," ""Cesare Brandi"" "," ""wd:Q7018"" "," ""     15th century"" "," ""Piazza de' Mozzi"," 2"" "," ""wd:Q2044"" "," ""     Florence"" "," ""wd:Q16172"" "," ""     Province of Florence"" "," ""wd:Q38"" "," ""     Italy"" "," ""file:////home/fzeri/artchives/records/www.polomusealetoscana.beniculturali.it"" ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
" ""wd:Q108323065"" "," ""art:1638187830-7530286/"" "," ""Direzione regionale musei della Toscana"" "," ""art:collectionarchive-cesare-brandi"" "," ""Archive Cesare Brandi"" "," ""wd:Q1056780"" "," ""Library: about 5000 units; works of art in the collection: 77 units; movable property: 502 units; correspondence (letters and postcards): 16",000 units approx. arranged in 106 folders; various documents and papers related to the family: 14 folders; various documents and papers related to Villa Brandi (press review, inventories, OA files, administrative deeds): 11 folders; documents and deeds of the work of Cesare Brandi at the Superintendence of Monuments and Galleries of Siena: 1 folder; pen sketches: 1 folder; manuscripts (unpublished writings, drafts, notebooks and notes for publications): 97 folders; photo library: 6446 units approx. arranged in 95 containers, 2 DVDs, 1 pc and 1 hard disk; original supports from the photo library: 15 folders; family photographs: 5 boxes," 1 folder and 1 DVD; slides: 3 boxes."" "," ""Cesare Brandi"" "," ""wd:Q7017"" "," ""     16th century"" "," ""Piazza de' Mozzi"," 2"" "," ""wd:Q2044"" "," ""     Florence"" "," ""wd:Q16172"" "," ""     Province of Florence"" "," ""wd:Q38"" "," ""     Italy"" "," ""file:////home/fzeri/artchives/records/www.polomusealetoscana.beniculturali.it"" ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
" ""wd:Q108323065"" "," ""art:1638187830-7530286/"" "," ""Direzione regionale musei della Toscana"" "," ""art:collectionarchive-cesare-brandi"" "," ""Archive Cesare Brandi"" "," ""wd:Q1056780"" "," ""Library: about 5000 units; works of art in the collection: 77 units; movable property: 502 units; correspondence (letters and postcards): 16",000 units approx. arranged in 106 folders; various documents and papers related to the family: 14 folders; various documents and papers related to Villa Brandi (press review, inventories, OA files, administrative deeds): 11 folders; documents and deeds of the work of Cesare Brandi at the Superintendence of Monuments and Galleries of Siena: 1 folder; pen sketches: 1 folder; manuscripts (unpublished writings, drafts, notebooks and notes for publications): 97 folders; photo library: 6446 units approx. arranged in 95 containers, 2 DVDs, 1 pc and 1 hard disk; original supports from the photo library: 15 folders; family photographs: 5 boxes," 1 folder and 1 DVD; slides: 3 boxes."" "," ""Cesare Brandi"" "," ""wd:Q7015"" "," ""     18th century"" "," ""Piazza de' Mozzi"," 2"" "," ""wd:Q2044"" "," ""     Florence"" "," ""wd:Q16172"" "," ""     Province of Florence"" "," ""wd:Q38"" "," ""     Italy"" "," ""file:////home/fzeri/artchives/records/www.polomusealetoscana.beniculturali.it"" ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
" ""wd:Q108323065"" "," ""art:1638187830-7530286/"" "," ""Direzione regionale musei della Toscana"" "," ""art:collectionarchive-cesare-brandi"" "," ""Archive Cesare Brandi"" "," ""wd:Q1056780"" "," ""Library: about 5000 units; works of art in the collection: 77 units; movable property: 502 units; correspondence (letters and postcards): 16",000 units approx. arranged in 106 folders; various documents and papers related to the family: 14 folders; various documents and papers related to Villa Brandi (press review, inventories, OA files, administrative deeds): 11 folders; documents and deeds of the work of Cesare Brandi at the Superintendence of Monuments and Galleries of Siena: 1 folder; pen sketches: 1 folder; manuscripts (unpublished writings, drafts, notebooks and notes for publications): 97 folders; photo library: 6446 units approx. arranged in 95 containers, 2 DVDs, 1 pc and 1 hard disk; original supports from the photo library: 15 folders; family photographs: 5 boxes," 1 folder and 1 DVD; slides: 3 boxes."" "," ""Cesare Brandi"" "," ""wd:Q6955"" "," ""     19th century"" "," ""Piazza de' Mozzi"," 2"" "," ""wd:Q2044"" "," ""     Florence"" "," ""wd:Q16172"" "," ""     Province of Florence"" "," ""wd:Q38"" "," ""     Italy"" "," ""file:////home/fzeri/artchives/records/www.polomusealetoscana.beniculturali.it"" ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
" ""wd:Q108323065"" "," ""art:1638187830-7530286/"" "," ""Direzione regionale musei della Toscana"" "," ""art:collectionarchive-cesare-brandi"" "," ""Archive Cesare Brandi"" "," ""wd:Q1056780"" "," ""Library: about 5000 units; works of art in the collection: 77 units; movable property: 502 units; correspondence (letters and postcards): 16",000 units approx. arranged in 106 folders; various documents and papers related to the family: 14 folders; various documents and papers related to Villa Brandi (press review, inventories, OA files, administrative deeds): 11 folders; documents and deeds of the work of Cesare Brandi at the Superintendence of Monuments and Galleries of Siena: 1 folder; pen sketches: 1 folder; manuscripts (unpublished writings, drafts, notebooks and notes for publications): 97 folders; photo library: 6446 units approx. arranged in 95 containers, 2 DVDs, 1 pc and 1 hard disk; original supports from the photo library: 15 folders; family photographs: 5 boxes," 1 folder and 1 DVD; slides: 3 boxes."" "," ""Cesare Brandi"" "," ""wd:Q6927"" "," ""     20th century"" "," ""Piazza de' Mozzi"," 2"" "," ""wd:Q2044"" "," ""     Florence"" "," ""wd:Q16172"" "," ""     Province of Florence"" "," ""wd:Q38"" "," ""     Italy"" "," ""file:////home/fzeri/artchives/records/www.polomusealetoscana.beniculturali.it"" ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
" ""wd:Q23687322"" "," ""art:1557321703-04/"" "," ""Fondazione Federico Zeri"" "," ""art:collectionfototeca-zeri"" "," ""Fototeca Zeri"" "," ""wd:Q1089074"" "," ""290.000 photographs arrangend in more than 2","000 boxes"" "," ""Federico Zeri"" "," ""wd:Q37853"" "," ""                            Baroque"" "," ""2", Piazzetta Giorgio Morandi," 40125"" "," ""wd:Q1891"" "," "" Bologna"" "," ""wd:Q16139"" "," ""                         Province of Bologna"" "," ""wd:Q38"" "," ""  Italy"" "," ""https://fondazionezeri.unibo.it/en"" ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,
" ""wd:Q23687322"" "," ""art:1557321703-04/"" "," ""Fondazione Federico Zeri"" "," ""art:collectionfototeca-zeri"" "," ""Fototeca Zeri"" "," ""wd:Q1089074"" "," ""290.000 photographs arrangend in more than 2","000 boxes"" "," ""Federico Zeri"" "," ""wd:Q7016"" "," ""                            17th century"" "," ""2", Piazzetta Giorgio Morandi," 40125"" "," ""wd:Q1891"" "," "" Bologna"" "," ""wd:Q16139"" "," ""                         Province of Bologna"" "," ""wd:Q38"" "," ""  Italy"" "," ""https://fondazionezeri.unibo.it/en"" ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,
" ""wd:Q23687322"" "," ""art:1557321703-04/"" "," ""Fondazione Federico Zeri"" "," ""art:collectionfototeca-zeri"" "," ""Fototeca Zeri"" "," ""wd:Q1089074"" "," ""290.000 photographs arrangend in more than 2","000 boxes"" "," ""Federico Zeri"" "," ""wd:Q4692"" "," ""                            Renaissance"" "," ""2", Piazzetta Giorgio Morandi," 40125"" "," ""wd:Q1891"" "," "" Bologna"" "," ""wd:Q16139"" "," ""                         Province of Bologna"" "," ""wd:Q38"" "," ""  Italy"" "," ""https://fondazionezeri.unibo.it/en"" ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,,,,,,,
